AVL, B
10, 20
18, 33
73, 41
42, 41
42, 148
65, 47
78, 48
80, 61
80, 129
97, 48
96, 142
97, 65
119, 48
151, 65
152, 152
146, 65
151, 257
109, 262
278, 64
74, 67
186, 246
84, 251
82, 67
223, 64
233, 62
260, 156
235, 158
73, 70
271, 151
236, 64
294, 229
194, 77
75, 65
175, 79
73, 67
351, 149
86, 65
87, 72
91, 157
391, 157
305, 70
90, 64
338, 146
179, 67
85, 73
90, 76
129, 66
357, 151
399, 76
387, 158
442, 74
82, 68
93, 156
470, 240
447, 76
441, 74
368, 150
446, 71
88, 73
190, 158
123, 64
177, 66
97, 158
136, 156
488, 84
505, 72
91, 150
415, 74
577, 72
77, 72
97, 77
78, 75
136, 76
80, 77
191, 74
547, 352
184, 161
89, 237
558, 71
609, 76
82, 75
92, 254
602, 84
197, 81
639, 84
79, 85
590, 84
758, 174
678, 165
184, 166
704, 83
92, 83
97, 84
89, 81
299, 84
630, 173
786, 84
686, 90
860, 171
833, 89
